,songs_count,id,sex,p_birth,p_death,d_birth,d_death,Hebrew Speaker,sentence_total,sentence_mean,words_total,words_mean
וידל בנבנשתי,131,47,male,Spain,Spain,1380-01-01,1439-01-01,,8,0.061068702290076333,12234,93.38931297709924
שמחה בן-ציון,3,36,male,Telene?ti,Tel Aviv,1870-11-27,1932-06-02,,756,252.0,11541,3847.0
מנחם מנדל דוליצקי,24,58,male,Poland,USA,1856-02-22,1931-02-22,,780,32.5,11263,469.2916666666667
שמואל לייב גורדון,28,76,male,Lida,Tel Aviv,1867-01-01,1933-11-19,,698,24.928571428571427,11110,396.7857142857143
חיים דוד נוסבוים,83,402,male,Poland,USA,1860-07-12,1944-12-10,,992,11.951807228915662,10956,132.0
דנטה אליגיירי,1,155,male,Florence$$$$$$$$2 references$$$$$$stated in$$$$$Dizionario Biografico degli Italiani$$$$$$$$Treccani's Dizionario biografico degli italiani ID$$$$$dante-alighieri$$$$$$$$retrieved$$$$$6 July 2020,Ravenna$$$$$$$$country$$$$$Papal States$$$$$$$$2 references$$$$$$stated in$$$$$Dizionario Biografico degli Italiani$$$$$$$$Treccani's Dizionario biografico degli italiani ID$$$$$dante-alighieri$$$$$$$$retrieved$$$$$6 July 2020,1265-01-01,1321-01-01,False,1174,1174.0,10598,10598.0
הורטיוס,22,99,male,Venosa,Rome,0065-01-01,0065-01-01,False,630,28.636363636363637,10569,480.40909090909093
אובידיוס,1,217,male,Sulmo$$$$$$$$2 references$$$$$$stated in$$$$$Q45188191,"Constan?a$$$$$$$$3 references$$$$$$stated in$$$$$Q45188191$$$$$$$$quotation$$$$$??? ?????? ? ???????? ?????????? ??? ???????????, ? ? ????? ?? ??????? ?????? ?? ???? ? ????? ? 17 ?. ?? ?. ?. ? ??? ??? ?? ????????. (Russian)",0000-10-24,0000-10-24,False,529,529.0,9902,9902.0
משה חיים לוצטו,20,55,male,Padua,Acre,1707-01-01,1746-05-16,,686,34.3,9659,482.95
משה יעקב בן דוד אוטולנגי,1,282,male,Greece,Greece,9/28/1840  ,1901-09-28,,141,141.0,9090,9090.0
יוסף אבן זבארה,11,92,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,562,51.09090909090909,8603,782.0909090909091
רחל בלובשטיין,166,5,female,Saratov,Tel Aviv,1890-09-20,1931-04-16,,773,4.656626506024097,8428,50.7710843373494
טוביה בן משה כץ,35,64,male,Metz,Jerusalem,1652-03-16,11/30/1729  ,,150,4.285714285714286,7705,220.14285714285714
יעקב אייכנבוים,2,373,male,Chervonohrad,Kyiv,1796-10-12,1861-10-12,,247,123.5,7564,3782.0
אפרים לוצטו,56,27,male,San Daniele del Friuli,Lausanne,1729-01-01,1792-01-01,,319,5.696428571428571,6287,112.26785714285714
נחום סוקולוב,18,53,male,Wyszogr?d,London,1859-01-10,1936-05-17,,381,21.166666666666668,6196,344.22222222222223
אברהם גולדפדן,10,126,male,Starokostiantyniv,New York City,1840-07-24,1908-01-09,,496,49.6,5999,599.9
מיכאיל לרמונטוב,5,351,male,Moscow$$$$$$$$5 references$$$$$$stated in$$$$$Concise Literary Encyclopedia,Pyatigorsk$$$$$$$$4 references$$$$$$stated in$$$$$Concise Literary Encyclopedia,1814-11-15,1841-11-15,,353,70.6,5582,1116.4
אברהם שטרן,46,10,male,Suwa?ki,Tel Aviv,1907-12-23,1942-02-12,,624,13.565217391304348,5294,115.08695652173913
יצחק מירקין,40,379,male,,Israel,1871-12-07,1941-07-04,,293,7.325,5269,131.725
"אד""ם הכהן",1,247,male,Vilnius,Vilnius,1794-01-01,1878-11-19,,348,348.0,5249,5249.0
לורד ביירון,33,18,male,"London$$$$$$$$3 references$$$$$$stated in$$$$$Byron, George Gordon (DNB00)",Missolonghi$$$$$$$$country$$$$$First Hellenic Republic$$$$$$$$3 references$$$$$$imported from Wikimedia project$$$$$Italian Wikipedia,1788-01-22,1824-04-19,False,332,10.06060606060606,5124,155.27272727272728
"איתמר בן-אב""י",21,117,male,Jerusalem,New York City,1882-07-31,1943-04-08,,409,19.476190476190474,4803,228.71428571428572
שלמה מנדלקרן,81,382,male,Mlyniv,Vienna,1846-01-01,1902-01-01,False,187,2.308641975308642,4573,56.45679012345679
יוסף זליגר,22,44,male,Sniatyn,Jerusalem,1872-05-29,1919-02-28,,329,14.954545454545455,4414,200.63636363636363
רחל לוצטו מורפורגו,51,48,female,Italy,Italy,1790-01-01,1871-01-01,,218,4.2745098039215685,4407,86.41176470588235
נח פינס,16,264,male,Poland,Israel,1871-09-01,1939-06-22,,215,13.4375,4390,274.375
ורגיליוס,1,231,male,Borgo Virgilio$$$$$$$$country$$$$$Roman Republic$$$$$$$$1 reference$$$$$$imported from Wikimedia project$$$$$Italian Wikipedia,Brindisi$$$$$$$$country$$$$$Roman Empire$$$$$$$$3 references$$$$$$imported from Wikimedia project$$$$$Russian Wikipedia,0000-10-24,0000-10-24,False,278,278.0,4275,4275.0
יואל משה סלומון,1,339,male,Jerusalem,Jerusalem,1838-03-08,1912-10-22,,197,197.0,4224,4224.0
יהושע אטלס,1,356,male,Russian Empire,Russian Empire,1859-02-18,1928-05-03,,320,320.0,3398,3398.0
שמואל בן עזריאל מולדר,1,243,male,Netherlands,Netherlands,1792-11-22,1862-12-22,,229,229.0,3376,3376.0
יצחק אבן כלפון,39,113,male,Cordoba,Cordoba,0960-12-02,1020-12-02,,245,6.282051282051282,3287,84.28205128205128
אלכסנדר סרגיביץ' פושקין,23,60,male,Moscow,Saint Petersburg,1799-02-22,1837-02-22,,196,8.521739130434783,3269,142.1304347826087
אברהם סולודר,22,66,male,Ukraine,USA,1890-01-01,1936-01-01,,307,13.954545454545455,3217,146.22727272727272
אברהם בן חלפון,30,406,male,Yeman,Yeman,1200-06-21,1250-06-21,,7,0.23333333333333334,3214,107.13333333333334
יצחק ליבוש פרץ,7,30,male,Zamo??,Warsaw,1842-02-25,1919-02-28,,269,38.42857142857143,3170,452.85714285714283
זאב ז'בוטינסקי,14,109,male,Odessa,Hunter,1880-12-02,1940-08-03,,252,18.0,3080,220.0
יהודה אבן שבתי,1,96,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,163,163.0,2816,2816.0
צבי אלעזר טלר,7,209,male,Zolochiv,Przemy?l,1840-07-18,1914-01-01,,171,24.428571428571427,2794,399.14285714285717
ישראל חצקביץ,28,78,male,Ukraine,Givat Hashlosha,1897-01-20,1939-12-07,,238,8.5,2725,97.32142857142857
פרידריך שילר,5,198,male,Marbach am Neckar$$$$$$$$country$$$$$Holy Roman Empire$$$$$$$$3 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$10 December 2014,Weimar$$$$$$$$3 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$30 December 2014,1759-11-10,1805-05-09,False,125,25.0,2701,540.2
עומר כיאם,2,207,male,Nishapur,Nishapur,1048-05-18,1131-12-04,,152,76.0,2661,1330.5
יוליוש סלובצקי,1,444,male,Kremenets,Paris,1809-09-04,1849-04-03,False,167,167.0,2432,2432.0
אדם מיצקביץ',3,171,male,Zavosse$$$$$$$$location$$$$$Q18155970$$$$$$$$located in the administrative territorial entity$$$$$Novogrudsky Uyezd,"Istanbul$$$$$$$$3 references$$$$$$stated in$$$$$Great Soviet Encyclopedia (1969–1978)$$$$$$$$section, verse, paragraph, or clause$$$$$???????? ????$$$$$$$$retrieved$$$$$28 September 2015",1798-12-24,1855-11-26,False,139,46.333333333333336,2304,768.0
שלום עליכם,1,103,male,Pereiaslav,New York City,1859-10-29,1916-05-13,,172,172.0,2258,2258.0
שמריהו לוין,10,9,male,Svisla?,Haifa,1867-01-01,1935-06-09,,109,10.9,2120,212.0
פסח גינזבורג,2,273,male,Lipnik,Jerusalem,1894-04-28,1947-01-29,,159,79.5,2106,1053.0
אורי ניסן גנסין,24,102,male,Starodub,Warsaw,1879-10-29,1913-03-06,,107,4.458333333333333,1910,79.58333333333333
יצחק אבן גיאת,15,81,male,Cordoba,Cordoba,1038-03-27,5/21/1089  ,,151,10.066666666666666,1887,125.8
אברהם בן־יצחק,44,435,male,Ukraine,Israel,1883-09-04,1950-04-03,,80,1.8181818181818181,1790,40.68181818181818
שלמה אבן צקבל,1,89,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,120,120.0,1654,1654.0
יצחק בעל “עזרת נשים”,1,254,male,,,,,,103,103.0,1625,1625.0
וילהלם בוש,1,307,male,Wiedensahl$$$$$$$$2 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$11 December 2014,Mechtshausen$$$$$$$$0 references$$$$$$,1832-04-15,1908-01-09,False,120,120.0,1617,1617.0
אדגר אלן פו,3,120,male,Boston$$$$$$$$located in the administrative territorial entity$$$$$Massachusetts$$$$$$$$4 references$$$$$$imported from Wikimedia project$$$$$German Wikipedia,Baltimore$$$$$$$$4 references$$$$$$imported from Wikimedia project$$$$$Russian Wikipedia,1809-01-19,1849-10-07,False,90,30.0,1454,484.6666666666667
יצחק בר שֵׁשֶׁת בֶּרְפֶת,4,128,male,Barcelona,Algire,1326-07-29,1408-07-29,,40,10.0,1432,358.0
שמעון שמואל פרוג,8,172,male,Bobrovyi Kut,Odessa,1860-11-15,1916-09-22,,100,12.5,1252,156.5
שמעון בן צמח דוּרָאן,8,115,male,Palma,Algire,1361-12-04,1444-02-05,,51,6.375,1165,145.625
קדיש יהודה סילמן,11,7,male,Lithuania,Jerusalem,1880-11-28,1937-11-13,,117,10.636363636363637,1115,101.36363636363636
שותא רוסתאוולי,2,316,male,Rustavi$$$$$$$$country$$$$$Kingdom of Georgia,Jerusalem,1172-01-01,1216-01-01,False,81,40.5,1039,519.5
"יצחק בעל ""משלי ערב""",1,97,male,Jerusalem,Jerusalem,1863-01-01,1941-01-01,,51,51.0,1017,1017.0
יוסף אבן צדיק,7,85,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,60,8.571428571428571,999,142.71428571428572
אנאקראון,13,116,male,Teos,Teos,0000-12-04,0000-12-04,False,78,6.0,919,70.6923076923077
פרנסיס תומפסון,1,315,male,London,London,1859-12-11,1907-05-02,False,52,52.0,898,898.0
חנה סנש,19,105,female,Budapest,Budapest,1921-07-17,1944-11-07,,88,4.631578947368421,839,44.1578947368421
יוסף אבן אביתור,4,83,male,M?rida,Damascus,0950-03-27,5/21/1025 ,,85,21.25,833,208.25
יהודה שטיינברג,1,19,male,Lipcani,Odessa,1863-02-26,1908-03-10,,74,74.0,803,803.0
איוואן בונין,7,320,male,Voronezh,Paris,1870-08-20,1953-11-08,False,57,8.142857142857142,734,104.85714285714286
יצחק קצנלסון,16,277,male,Kareli?y$$$$$$$$country$$$$$Russian Empire,Auschwitz II-Birkenau concentration camp,1886-07-01,1944-05-01,,94,5.875,728,45.5
קורנל אוייסקי,3,445,male,Poland,Poland,1823-09-04,1897-04-03,False,65,21.666666666666668,710,236.66666666666666
משה אבן אלתקאנה,1,416,male,Spain,Spain,1000-02-07,1000-02-07,,28,28.0,651,651.0
דונש הלוי בן לברט,3,84,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,29,9.666666666666666,600,200.0
יוהאן וולפגנג פון גתה,5,166,male,Frankfurt am Main$$$$$$$$2 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$10 December 2014,Weimar$$$$$$$$country$$$$$Saxe-Weimar-Eisenach$$$$$$$$3 references$$$$$$imported from Wikimedia project$$$$$German Wikipedia,1749-08-28,1832-03-22,False,59,11.8,560,112.0
צבי שץ,9,190,male,Russian Empire,Jaffa,1890-01-01,1921-05-02,,41,4.555555555555555,551,61.22222222222222
חאפז,3,318,male,Shiraz$$$$$$$$country$$$$$Muzaffarids of Iran,Shiraz$$$$$$$$country$$$$$Timurid Empire,1326-01-01,1389-01-01,False,41,13.666666666666666,550,183.33333333333334
ריכרד דֵמֶל,7,313,male,Germany,Germany,1863-12-11,1920-05-02,False,41,5.857142857142857,545,77.85714285714286
יצחק אבן קפרון,1,86,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,16,16.0,492,492.0
שארל בודלר,1,101,male,Paris$$$$$$$$2 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$10 December 2014,Paris$$$$$$$$2 references$$$$$$stated in$$$$$Integrated Authority File$$$$$$$$retrieved$$$$$30 December 2014,1821-04-09,1867-08-31,,21,21.0,490,490.0
אהרן שמי,1,367,male,Israel,Israel,1829-04-14,2010-11-21,,37,37.0,445,445.0
יוסף אבן חסדאי,1,75,male,Spain,Spain,1000-01-07,1050-01-07,,20,20.0,414,414.0
לייזר וולף,1,422,male,Vilnius,Samarqand Region,1910-01-01,1943-01-01,,35,35.0,377,377.0
יצחק אבן עזרא,3,90,male,C?rdoba,Baghdad,1075-01-01,1149-01-01,,24,8.0,371,123.66666666666667
פרסי ביש שלי,1,311,male,Horsham,La Spezia,1792-08-04,1822-07-08,False,21,21.0,367,367.0
תומאס הוד,1,408,male,Edinburgh$$$$$$$$3 references$$$$$$imported from Wikimedia project$$$$$Russian Wikipedia,Abbotsford House$$$$$$$$2 references$$$$$$reference URL$$$$$http://link.springer.com/content/pdf/10.1007/BF00390694.pdf,1799-08-15,1845-09-21,False,28,28.0,346,346.0
לאופולד שפר,3,15,male,Germany,Germany,1784-12-28,11/18/1862  ,,14,4.666666666666667,330,110.0
אסאיאס טגנר,1,317,male,Sweden,Sweden,1782-01-01,1846-01-01,False,23,23.0,315,315.0
רוברט ברנז,2,310,male,Alloway$$$$$$$$located in the administrative territorial entity$$$$$Scotland,Dumfries,1759-01-25,1796-07-21,False,19,9.5,310,155.0
פרנסיס ז’ם,3,210,male,france,france,1868-07-18,1938-01-01,False,24,8.0,292,97.33333333333333
יוסף אבן סהל,1,82,male,Cordoba,Cordoba,1080-03-27,5/21/1124  ,,16,16.0,280,280.0
יהודה אבן גיאת,2,251,male,Spain,Spain,1038-08-15,1089-08-15,,20,10.0,266,133.0
יצחק אבן מר שאול,1,88,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,17,17.0,215,215.0
שרל ון לרברג,3,138,male,belgium,belgium,1861-11-22,1907-03-01,False,20,6.666666666666667,205,68.33333333333333
ציליה דראפקין,1,201,female,Babruysk,New York City,1887-12-05,1956-08-17,,6,6.0,202,202.0
דוד זמושץ',1,175,male,Germany,Germany,1789-01-06,11/8/1854  ,,8,8.0,199,199.0
לואיס קמואנס,1,214,male,Spain,Spain,1524-10-23,1580-01-20,False,8,8.0,194,194.0
ויליאם שייקספיר,1,148,male,Stratford-upon-Avon$$$$$$$$3 references$$$$$$stated in$$$$$Q28735342,Stratford-upon-Avon$$$$$$$$3 references$$$$$$stated in$$$$$Q28735342,1554-12-02,1616-12-02,False,11,11.0,193,193.0
יוסף אבן ברזל,2,94,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,12,6.0,192,96.0
פּוֹל וֶרלֶן,4,196,male,france,france,1844-08-05,1896-07-06,False,13,3.25,179,44.75
שרה שפירא,2,450,female,Russian Empire,Russian Empire,1866-01-12,1932-11-22,,8,4.0,179,89.5
גבריאלֶה ד'אנונציו,1,134,male,Italy,Italy,1863-11-21,1938-11-21,False,11,11.0,179,179.0
אנדרה שנייה,2,333,male,"Istanbul$$$$$$$$2 references$$$$$$stated in$$$$$EB-11 / Ch?nier, Andr? de",Paris$$$$$$$$1 reference$$$$$$stated in$$$$$Concise Literary Encyclopedia,1762-10-30,1794-07-25,False,10,5.0,177,88.5
שאול יצחק קמפף,1,241,male,Cezch,Cezch,1818-11-22,1892-12-22,,17,17.0,175,175.0
שלמה אבן-אלמעלם,1,98,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,12,12.0,165,165.0
הנרי וודסוורת' לונגפלו,1,309,male,Portland,Cambridge,1807-02-27,1882-03-24,,13,13.0,164,164.0
יהודה בן קורייש,1,180,male,Algire,Algire,0750-02-22,0800-02-22,,0,0.0,155,155.0
יוסף קמחי,1,91,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,10,10.0,152,152.0
יוסף אבן ששת,1,87,male,C?rdoba,C?rdoba,1075-01-01,1149-01-01,,10,10.0,133,133.0
שמואל דוד לוצטו,1,118,male,Trieste,Padua,1800-08-22,1865-09-29,,11,11.0,130,130.0
ולדיסלב חודסביץ',2,135,male,Russian Empire,Russian Empire,1886-11-21,1933-11-21,False,9,4.5,125,62.5
אדמון רוסטאן,1,234,male,Marseille,Paris,1868-04-01,1918-12-02,False,6,6.0,120,120.0
אלפרד דה מיסה,1,312,male,Paris$$$$$$$$5 references$$$$$$imported from Wikimedia project$$$$$French Wikipedia,Paris$$$$$$$$5 references$$$$$$imported from Wikimedia project$$$$$French Wikipedia,1810-12-11,1857-05-02,False,9,9.0,113,113.0
ז'וזה מריה דה ארדיה,1,314,male,Cuba,Cuba,1842-12-11,1905-05-02,False,6,6.0,104,104.0
אברהם ליסין,1,219,male,Minsk,New York City,1872-05-19,1938-11-05,,10,10.0,103,103.0
אבון,1,93,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,5,5.0,97,97.0
חיא,1,253,male,,,,,,4,4.0,97,97.0
תאופיל גוטייה,1,158,male,Tarbes$$$$$$$$5 references$$$$$$imported from Wikimedia project$$$$$German Wikipedia,Neuilly-sur-Seine$$$$$$$$4 references$$$$$$imported from Wikimedia project$$$$$German Wikipedia,1811-08-30,1872-10-23,False,4,4.0,92,92.0
קלמן שולמן,1,52,male,Bycha?,Vilnius,1819-01-01,1899-01-14,,11,11.0,91,91.0
לודוויג רלשטאב,1,197,male,Germany,Germany,1799-08-05,1860-07-06,False,6,6.0,83,83.0
לוי אבן מר שאול,1,252,male,Spain,Spain,1038-08-15,1089-08-15,,4,4.0,82,82.0
ריינר מריה רילקה,1,441,male,Prague,Montreux,1875-12-04,1926-12-29,False,0,0.0,79,79.0
דיוניסיוס סולומוס,1,319,male,Mykhailivka,Jerusalem,1875-08-20,1943-10-14,False,4,4.0,79,79.0
ישראל דושמן,1,298,male,Vilnius,Tel Aviv,1884-01-01,1947-01-01,,10,10.0,76,76.0
סרגי יסנין,1,164,male,Konstantinovo$$$$$$$$located in the administrative territorial entity$$$$$Ryazan Uyezd,Angleterre Hotel$$$$$$$$country$$$$$Russian Empire$$$$$$$$located in the administrative territorial entity$$$$$Saint Petersburg,1895-03-28,1925-12-28,False,7,7.0,76,76.0
אוהב בן מאיר הנשיא,1,95,male,al-Andalus,Narbonne,1105-01-01,1170-01-01,,4,4.0,73,73.0
חיים ארלוזורוב,1,43,male,Romny,Tel Aviv,1899-02-23,1933-06-16,,6,6.0,68,68.0
שטפן גאורגה,1,334,male,B?desheim,Minusio,1868-07-12,1933-12-04,False,4,4.0,58,58.0
ג'סי סמפטר,1,227,female,New York City,Mandatory Palestine,1883-03-22,1938-11-25,,5,5.0,52,52.0
אינוקנטי אננסקי,1,161,,,,,,False,5,5.0,46,46.0
שלמה אנ-סקי,1,177,male,?a?niki$$$$$$$$located in the administrative territorial entity$$$$$Vitebsk Governorate$$$$$$$$country$$$$$Russian Empire,Warsaw,1860-01-06,1920-11-08,,4,4.0,42,42.0
פרידריך ניטשה,1,181,male,R?cken$$$$$$$$country$$$$$Kingdom of Prussia$$$$$$$$2 references$$$$$$imported from Wikimedia project$$$$$German Wikipedia,Weimar$$$$$$$$3 references$$$$$$imported from Wikimedia project$$$$$Russian Wikipedia,1844-10-15,1900-08-25,False,2,2.0,28,28.0
